Ticker,Relação P/L,Rendimento de Dividendos,Capitalização de Mercado,Alta de 52 Semanas,Baixa de 52 Semanas,Beta,Lucro por Ação (EPS),Retorno sobre o Patrimônio (ROE)
TER,31.139061,0.0031,23771174912,163.21,81.08,1.498,2.63,0.17152001
TSLA,73.109795,,785755078656,278.98,138.8,2.313,3.9,0.23736
TXN,30.934477,0.0253,180539473920,210.84,139.48,0.974,6.42,0.3666
TXT,13.123931,0.00090000004,17569099776,97.34,67.04,1.249,4.66,0.1338
TMO,22.838709,0.0029,210798837760,603.82,415.6,0.771,15.57,0.13616
TJX,24.872807,0.013200001,128181616640,115.35,85.27,0.884,4.03,0.66833997
TSCO,23.653542,0.0162,29147510784,290.38,185.0,0.806,10.27,0.5558
TT,29.037037,0.01,78082383872,347.33,184.02,1.209,9.47,0.33898997
TDG,32.69317,,72025866240,1369.58,802.46,1.382,25.24,
TRV,10.098305,0.020399999,47530450944,232.75,157.33,0.625,15.8,0.15784
TRMB,18.72459,,13946719232,65.55,39.57,1.498,0.96,0.05578
TFC,11.065164,0.0475,59082416128,44.375,26.57,1.054,-5.31,-0.10037
TYL,50.46692,,22347196416,533.81,361.16,0.758,4.39,0.06628
TSN,15.879356,0.032899998,21087361024,62.04,44.94,0.734,-1.77,-0.03261
USB,10.692488,0.0435,71078952960,45.85,30.47,1.061,3.15,0.09644
UBER,31.849056,,141084377088,82.14,40.09,1.36,0.63,0.15587
UDR,89.38297,0.0404,15836005376,43.21,30.95,0.82,1.38,0.100810006
ULTA,13.717055,,18575517696,574.76,368.02,1.371,25.62,0.58214
UNP,18.977814,0.022,146124210176,258.66,199.33,1.065,10.46,0.45450002
UAL,4.2040105,,15856374784,56.18,33.68,1.445,8.92,0.32209
UPS,13.203723,0.044899996,109237772288,192.98,124.975,0.975,6.91,0.32044998
URI,15.655303,0.0088,49970675712,759.98,387.01,1.706,36.84,0.32984
UNH,17.79025,0.015,510537596928,581.5,436.38,0.603,15.14,0.15584
UHS,12.095301,0.0044,12401981440,194.02,119.9,1.279,11.77,0.13305001
VLO,10.712618,0.0287,48386908160,184.79,119.88,1.411,20.39,0.2624
VTR,206.00002,0.0335,21679695872,54.22,39.33,1.355,-0.16,-0.0061500003
VLTO,27.669422,0.0036000002,24793313280,102.58,65.51,,3.23,0.33001998
VRSN,20.495348,,17555494912,220.91,167.05,0.904,8.13,
VRSK,37.63464,0.0056,39680774144,282.21,215.32,0.845,5.46,4.319
VZ,8.274468,0.068,163726884864,43.42,30.14,0.393,2.66,0.120950006
VRTX,27.164545,,126528544768,498.77,340.2,0.392,15.42,0.24375999
VTRS,4.227941,0.041100003,13692820480,13.62,8.74,0.94,-0.05,-0.00274
VICI,11.153847,0.0546,31764832256,33.4,26.625,0.945,2.52,0.10614
V,23.705462,0.0078,541786832896,290.96,227.68,0.953,8.94,0.46528
VST,12.790734,0.011,27821121536,107.24,27.542,1.066,1.63,0.12991999
VMC,26.33097,0.0070999996,34405355520,276.58,190.51,0.819,6.93,0.12765999
WRB,12.14186,0.0062,20022169600,59.46,40.246666,,3.8,
GWW,22.263046,0.0086,46740414464,1034.18,674.41,1.172,36.26,0.57736
WAB,20.32769,0.0047,29652080640,170.83,98.7,1.288,5.13,0.09003
WBA,5.5870643,0.0885,9694577664,31.32,10.69,0.703,-6.74,-0.55966
WMT,26.36194,0.0117999995,568276090880,71.33,49.84667,0.501,2.33,0.23464
DIS,16.534546,0.0095999995,165787254784,123.74,78.73,1.399,0.92,0.02716
WBD,-143.66667,,21121671168,14.76,6.94,1.497,-1.24,-0.06386
WM,27.070545,0.0134000005,87728881664,225.0,149.71,0.743,6.1,0.35301998
WAT,23.248068,,17845143552,367.21,231.9,0.951,10.17,0.65021
WEC,15.66092,0.040700004,25818531840,93.37,75.13,0.406,4.58,0.11842
WFC,10.868853,0.023699999,203039703040,62.55,38.39,1.168,4.88,0.10429
WELL,62.982758,0.0225,65525616640,110.63,78.38,1.177,0.86,0.01839
WST,35.13111,0.0025,23146082304,415.73,310.0,0.995,7.57,0.20844
WDC,8.996301,,23823263744,81.55,35.62,1.367,-5.07,-0.13354
WY,27.50909,0.026099999,22060054528,36.27,26.73,1.41,1.1,0.079679996
WMB,21.192308,0.0424,53722501120,45.1,32.49,1.08,2.44,0.21229
WTW,14.470396,0.013300001,27235670016,278.86,195.29,0.737,9.9,0.10656
WYNN,14.18569,0.012,9332151296,111.09,81.65,1.824,7.64,
XEL,14.359375,0.039300002,30637932544,65.62,46.79,0.378,3.33,0.10624
XYL,29.563025,0.010299999,34117142528,146.08,87.59,1.042,2.88,0.096140005
YUM,19.883648,0.0208,35615182848,143.2,115.53,1.068,5.65,
ZBRA,22.5,,17030106112,337.08,194.59,1.657,5.06,0.08614001
ZBH,12.672811,0.0087,22630080512,142.54,102.0,1.013,4.61,0.07795
ZTS,28.07199,0.0095999995,81850204160,201.92,144.8,0.861,5.19,0.50047
PETR4.SA,4.408716,0.1408,505832767488,42.94,29.32,0.988,9.64,0.27214
VALE3.SA,5.069865,0.1188,257226670080,78.55,59.36,0.928,10.13,0.1996
ITUB4.SA,7.514285,0.0062,310543646720,35.95,26.36,0.573,3.61,0.19393998
BBDC4.SA,5.4759827,0.0478,127275982848,17.74,12.14,0.675,1.16,0.080299996
ABEV3.SA,12.020408,0.0618,185254625280,15.45,10.98,0.536,0.92,0.17197001
BBAS3.SA,3.893218,0.0301,154000211968,29.955,22.785,0.808,6.78,0.1976
B3SA3.SA,12.021505,0.0271,61038219264,15.52,10.05,0.59,0.7,0.19742
WEGE3.SA,31.57718,0.0053,197397807104,47.92,31.47,0.619,1.37,0.35596
MGLU3.SA,12.957447,,8963810304,32.54925,10.56,1.44,-0.74,-0.052849997
RENT3.SA,10.764268,0.0365,46168035328,70.210594,38.917927,0.917,1.92,0.086
BTC-USD,,,1300214710272,73750.07,24930.297,,,
ETH-USD,,,418319990784,4092.2842,1523.2375,,,
USDT-USD,,,114258960384,1.00363,0.997224,,,
BNB-USD,,,84876492800,720.6726,203.65544,,,
SOL-USD,,,79688269824,209.69606,17.461477,,,
USDC-USD,,,34157309952,1.002967,0.997814,,,
STETH-USD,,,34141315072,4077.8674,1524.0585,,,
XRP-USD,,,33391634432,0.742126,0.391139,,,
DOGE-USD,,,18893557760,0.226581,0.057466,,,
TON-USD,,,52218288,6.988974,0.855643,,,
ADA-USD,,,14714170368,0.806985,0.237626,,,
AVAX-USD,,,11749367808,65.25045,8.7013,,,
TRX-USD,,,11675230208,0.144126,0.072062,,,
WBTC-USD,,,10204427264,73505.734,24998.08,,,
SHIB-USD,,,10016771072,4.5e-05,7e-06,,,
LINK-USD,,,8426967040,22.825249,5.760215,,,
DOT-USD,,,8496038912,11.882433,3.607706,,,
BCH-USD,,,7214827520,714.06244,173.42865,,,
NEAR-USD,,,6341770752,8.985104,0.972392,,,
UNI-USD,,,14074,0.001812,0.000108,,,
LTC-USD,,,5443538944,112.315865,57.51331,,,
LEO-USD,,,5356904448,6.193041,3.615327,,,
DAI-USD,,,5347371520,1.002421,0.991358,,,
WEETH-USD,,,5298175488,4192.3174,2173.569,,,
PEPE-USD,,,,0.000441,5e-06,,,
MATIC-USD,,,5263780352,1.287182,0.43054,,,
ICP-USD,,,4462088704,20.895885,2.862202,,,
KAS-USD,,,4353176064,0.197611,0.032243,,,
ETC-USD,,,3550409216,39.618526,13.944385,,,
USDE-USD,,,,2.706297,2e-05,,,
APT-USD,,,,0.01444,0.00013,,,
FET-USD,,,3241608192,3.474265,0.171494,,,
XLM-USD,,,2954980864,0.166491,0.07728,,,
XMR-USD,,,2964645376,182.25441,101.13885,,,
MNT-USD,,,,3.967714,0.038348,,,
ARB-USD,,,,1.233957,0.000385,,,
MKR-USD,,,2623564800,4064.835,197.77333,,,
STX-USD,,,,0.480449,0.002619,,,
WIF-USD,,,2535726592,4.849967,0.067702,,,
FIL-USD,,,2544173824,11.806049,2.963689,,,
RENDER-USD,,,2664781824,6.8219104,6.7353196,,,
CRO-USD,,,2435143680,0.182002,0.048851,,,
HBAR-USD,,,2440089344,0.18055,0.045081,,,
ATOM-USD,,,2408041472,14.483605,5.134652,,,
OKB-USD,,,2404255232,73.82613,32.805706,,,
IMX-USD,,,,6.43046,,,,
INJ-USD,,,2240084224,52.749947,6.407394,,,
VET-USD,,,2321692160,0.054765,0.014665,,,
TAO-USD,,,,1.2702465e-07,5.2692264e-09,,,
OP-USD,,,2092120704,4.851507,1.164329,,,
SUI-USD,,,,0.017166,,,,
FDUSD-USD,,,2021422720,1.059593,0.985427,,,
AR-USD,,,2007900544,49.417557,3.746306,,,
BONK-USD,,,1933552512,4.7e-05,,,,
RETH-USD,,,1964884608,4475.123,1659.2883,,,
EZETH-USD,,,1905284864,4094.0964,2480.5547,,,
GRT-USD,,,,10.112435,0.304925,,,
FLOKI-USD,,,1764311936,0.000346,1.5e-05,,,
METH-USD,,,,3442.0737,0.003248,,,
BGB-USD,,,1644319232,1.484946,0.404749,,,
RUNE-USD,,,1568368384,11.448678,0.915475,,,
LDO-USD,,,1565386240,4.014795,1.427339,,,
WBT-USD,,,,10.252693,4.990504,,,
THETA-USD,,,1448732672,3.784571,0.56304,,,
NOT-USD,,,1434725248,0.028958,0.004605,,,
ONDO-USD,,,1350520192,1.478033,0.083546,,,
AAVE-USD,,,1400724864,153.27216,51.567127,,,
FTM-USD,,,1370002432,1.221459,0.172495,,,
JASMY-USD,,,1342134144,0.044427,0.002919,,,
BRETT-USD,,,,0.0027389417,3.7277688e-11,,,
CORE-USD,,,,88514.63,4687.7124,,,
JUP-USD,,,,0.02797,0.000571,,,
TIA-USD,,,,7487.995,0.001239,,,
PYTH-USD,,,1210103168,1.150148,0.228856,,,
EETH-USD,,,6141279744,4022.61,568.8382,,,
SEI-USD,,,1187498752,1.141738,0.007989,,,
ALGO-USD,,,1179697408,0.329,0.087611,,,
QNT-USD,,,875736128,153.54907,64.488266,,,
OM-USD,,,1048146240,1.415118,0.017284,,,
GT-USD,,,705853632,11.468847,3.579494,,,
ENS-USD,,,961678848,33.427483,6.695157,,,
KCS-USD,,,937772544,15.977454,3.569276,,,
MSOL-USD,,,925323648,1547.3969,19.747622,,,
EGLD-USD,,,931057536,77.79886,22.30243,,,
BEAM-USD,,,5865493,0.297332,0.024921,,,
FLOW-USD,,,905729728,1.692911,0.392064,,,
TKX-USD,,,,30.668295,4.699067,,,
RSETH-USD,,,889171200,4031.118,2260.8743,,,
HNT-USD,,,843529344,11.036343,1.349132,,,
AXS-USD,,,880567488,13.453577,4.079722,,,
GALA-USD,,,779504768,0.836685,0.009273,,,
EOS-USD,,,873961088,1.353046,0.445334,,,
BSV-USD,,,876480640,128.27065,27.125454,,,
FLR-USD,,,826953792,0.054173,0.008263,,,
BTT-USD,,,839655744,2e-06,,,,
POPCAT-USD,,,,4.6033233e-11,4.6033233e-11,,,
AKT-USD,,,825087680,6.820273,0.567146,,,
NEO-USD,,,800739712,23.699697,6.493753,,,
DYDX-USD,,,779872448,4.528474,1.026544,,,
ENA-USD,,,758531584,1.516972,0.350287,,,
ORDI-USD,,,766592576,96.17438,2.863915,,,
STRK-USD,,,34738124,24.263153,4.787555,,,
RON-USD,,,,1.7398765e-11,1.7398763e-11,,,
XTZ-USD,,,749366336,1.576543,0.61854,,,
FTN-USD,,,709341440,2.362035,0.902302,,,
USDD-USD,,,738749760,1.01832,0.928695,,,
SAND-USD,,,732763200,0.825755,0.247319,,,
MOG-USD,,,731429376,2.141989e-06,,,,
MEW-USD,,,,2.7e-05,1e-06,,,
CBETH-USD,,,625720896,4331.0723,1600.7681,,,
NEXO-USD,,,685880192,1.584302,0.517372,,,
XEC-USD,,,666229568,8.6e-05,2.2e-05,,,
CFX-USD,,,659673344,0.548634,0.100414,,,
FRXETH-USD,,,,4057.5457,1520.8442,,,
ZK-USD,,,,1.374627,0.501041,,,
PENDLE-USD,,,647517696,7.517136,0.48478,,,
FRAX-USD,,,647334336,1.00935,0.97268,,,
WLD-USD,,,622141376,11.817128,0.975781,,,
GNO-USD,,,624030016,441.629,91.96617,,,
MANA-USD,,,632825216,0.818534,0.258965,,,
CHZ-USD,,,616623744,0.167586,0.053796,,,
PYUSD-USD,,,352846656,236493.17,0.096208,,,
XAUT-USD,,,594300736,2481.8665,1816.9927,,,
ROSE-USD,,,592614656,0.185345,0.036884,,,
MINA-USD,,,589350720,1.710897,0.351959,,,
BOME-USD,,,580744576,0.028047,0.000858,,,
SWETH-USD,,,577299136,4273.365,1535.3763,,,
SNX-USD,,,577990144,5.27581,1.427859,,,
RAY-USD,,,574449856,3.226245,0.159839,,,
W-USD,,,558144064,326.4311,0.237835,,,
IOTA-USD,,,563584704,0.419545,0.133891,,,
AIOZ-USD,,,559051904,1.061989,0.011053,,,
DEXE-USD,,,556537024,17.819372,2.056137,,,
ZRO-USD,,,,0.002474,0.001225,,,
APE-USD,,,,2.644152,0.172151,,,
SFRXETH-USD,,,563755456,4361.6436,1610.9576,,,
SAFE-USD,,,1679767,1.489459,0.025049,,,
SATS-USD,,,,0.000317,0.000156,,,
KLAY-USD,,,521562304,0.323908,0.107944,,,
CKB-USD,,,514992768,0.037799,0.002496,,,
ASTR-USD,,,512253792,0.197356,0.038644,,,
LPT-USD,,,507790368,27.283272,3.836007,,,
1INCH-USD,,,500118528,0.70224,0.221098,,,
TUSD-USD,,,495031008,1.033339,0.952337,,,
AXL-USD,,,,0.024057,0.00031,,,
AEVO-USD,,,462316128,4.462545,0.345204,,,
ILV-USD,,,311644256,161.27226,38.04346,,,
AERO-USD,,,,0.025821,2.1e-05,,,
LUNC-USD,,,459880256,0.000275,5.5e-05,,,
CAKE-USD,,,455214208,5.217611,1.051804,,,
TFUEL-USD,,,457871264,0.144218,0.029722,,,
ZEC-USD,,,484545408,35.602497,16.004679,,,
BTG-USD,,,448917504,69.836105,12.117904,,,
XDC-USD,,,449512992,0.091539,0.025948,,,
PAXG-USD,,,447355328,3097.8984,1824.6967,,,
KAVA-USD,,,444527680,1.156206,0.321918,,,
WEMIX-USD,,,419538560,4.266843,0.524578,,,
IOTX-USD,,,432718496,0.092558,0.013287,,,
NFT-USD,,,683556,0.0261,0.011703,,,
TURBO-USD,,,388390976,0.00978,6.5e-05,,,
TWT-USD,,,417961920,1.81461,0.719196,,,
DOG-USD,,,,1.0009584,1.9e-05,,,
ETHX-USD,,,408880384,4109.3564,1538.6483,,,
USDB-USD,,,,0.612461,0.11165,,,
G-USD,,,,0.000204,,,,
PEOPLE-USD,,,393719648,0.143146,0.008592,,,
ETHFI-USD,,,277179840,8.571553,1.768859,,,
MX-USD,,,389752256,5.853356,2.028138,,,
H2O-USD,,,,0.365911,0.000375,,,
SFP-USD,,,384446144,0.98091,0.39734,,,
WOO-USD,,,376052160,0.647012,0.145783,,,
CETH-USD,,,,,,,,
GAL-USD,,,10220512,7.38279,1.38472,,,
AGIX-USD,,,,1.463315,0.158294,,,
ANT-USD,,,396348032,12.255578,3.935984,,,
MANTA-USD,,,359900128,4.082953,0.730116,,,
MEME-USD,,,,0.071762,0.012275,,,
ARKM-USD,,,291899744,3.993964,0.286934,,,
BLUR-USD,,,347069536,0.831494,0.142028,,,
RPL-USD,,,342840704,39.00898,13.306904,,,
COMP-USD,,,2593,911.1978,4.826e-08,,,
OSMO-USD,,,337380832,1.956919,0.22389,,,
GLM-USD,,,336000640,0.770733,0.158313,,,
GMT-USD,,,,2.957528,0.162051,,,
CORGIAI-USD,,,,0.004219,4.4e-05,,,
CRV-USD,,,323977152,0.878046,0.221608,,,
PRIME-USD,,,,0.269586,0.005367,,,
DYM-USD,,,320147584,8.663982,0.991001,,,
KSM-USD,,,322298176,63.460262,16.61191,,,
PONKE-USD,,,326077696,0.709816,0.02173,,,
ZIL-USD,,,315355744,0.044541,0.013348,,,
DASH-USD,,,315459904,44.16843,19.757065,,,
BDX-USD,,,315187040,0.056724,0.027491,,,
ZRX-USD,,,314342944,1.434135,0.155789,,,
PEPECOIN-USD,,,307445312,7.565844,0.010881,,,
BLAST-USD,,,9101,0.001093,0.000177,,,
CELO-USD,,,309792736,1.796863,0.393686,,,
LSETH-USD,,,307792864,4281.4023,1568.0651,,,
ANKR-USD,,,307436768,0.06872,0.017027,,,
HOT-USD,,,,0.013262,0.000169,,,
SUPER-USD,,,10828,0.005414,0.000177,,,
SC-USD,,,312394400,0.022943,0.00261,,,
JTO-USD,,,301653760,5.281934,1.431437,,,
ENJ-USD,,,300359104,0.686669,0.138427,,,
GMX-USD,,,,0.000167,2.8e-05,,,
ETHDYDX-USD,,,294774720,4.522032,1.030791,,,
VENOM-USD,,,159732736,0.795475,0.1092,,,
MMX-USD,,,,0.000503,,,,
CWBTC-USD,,,,638.1478,313.551,,,
XRD-USD,,,290409536,0.085817,0.026367,,,
ETHW-USD,,,292207328,5.98068,1.170427,,,
NXM-USD,,,376085600,107.02654,29.191008,,,
TRAC-USD,,,291161920,1.54438,0.210026,,,
LUNA-USD,,,2034215,1.33508,0.00245,,,
BAT-USD,,,286849184,0.383618,0.151633,,,
ATH-USD,,,18961,0.002736,0.000332,,,
TRUMP-USD,,,,0.075499,1e-06,,,
ELF-USD,,,286078080,1.14486,0.270454,,,
METIS-USD,,,283143136,148.64624,10.345156,,,
JST-USD,,,282366080,0.051221,0.019789,,,
POLYX-USD,,,227658720,0.754673,0.10035,,,
QTUM-USD,,,273620032,6.156673,1.918512,,,
RSR-USD,,,271250240,0.013205,0.001671,,,
RVN-USD,,,270918944,0.060664,0.013497,,,
BTC.B-USD,,,,25046.17,18215.604,,,
APU-USD,,,,0.673754,0.100143,,,
BICO-USD,,,244071536,0.974992,0.19045,,,
WBETH-USD,,,3308911104,4219.7812,1552.372,,,
CSPR-USD,,,254665168,0.056497,0.018013,,,
IO-USD,,,,1.031097,0.0017511733,,,
SKL-USD,,,263942656,0.13485,0.019537,,,
PAAL-USD,,,238176592,0.862985,4.6e-05,,,
SAVAX-USD,,,247506288,73.51294,9.544448,,,
CVX-USD,,,293535040,5.683589,1.880532,,,
AMP-USD,,,182792928,0.021497,0.00141,,,
CFG-USD,,,243756768,1.146328,0.206434,,,
USDC.E-USD,,,,,,,,
GAS-USD,,,242075840,29.547009,2.071871,,,
NPC-USD,,,,638.50684,,,,
ALT-USD,,,245852,0.000791,0.00014,,,
OCEAN-USD,,,,1.660488,0.257971,,,
FLUX-USD,,,232474496,1.746589,0.30128,,,
SSV-USD,,,332679776,65.93225,11.383291,,,
MASK-USD,,,144888,32019.441,,,,
ULTIMA-USD,,,118526376,14669.248,2046.4216,,,
RLB-USD,,,241754624,0.263043,0.051379,,,
CDT-USD,,,1615905,1.293172,0.183331,,,
T-USD,,,223649824,0.065077,0.015867,,,
USDY-USD,,,,1.056642,0.821425,,,
GFI-USD,,,323120,0.003903,0.000828,,,
